,Heating,Cooling,Parking,Bedrooms,Bathrooms,Total interior livable area,Elementary School Score,Middle School Score,High School Score,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed Price
82,Central,Central Air,Garage - Two Door,2,3.0,1520.0,6.0,3.0,7.0,"Carpet, Wood, Tile",Central,Central Air,"Dishwasher, Microwave, Refrigerator",Inside,Garage - Two Door,838486.0,10234.0,949000.0
86,Forced Air,Central Air,Attached,5,4.0,4954.0,6.0,9.0,9.0,Hardwood Flrs Throughout,Forced Air,Central Air,"Dishwasher, Double Oven, Disposal, Gas Range, Trash Compactor",Laundry Room,Attached,1895557.0,22560.0,4888888.0
98,Central Forced Air - Gas,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",Master Bedroom on Ground Floor,3.0,1695.0,6.0,5.0,7.0,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Garbage disposal, Range / Oven, Refrigerator","Inside, In Utility Room","Garage, Garage - Attached, Covered",86136.0,2322.0,999000.0
111,"Forced Air, Heating - 2+ Zones, Central Forced Air - Gas","Multi-Zone, Central AC","Garage, Garage - Attached, Covered",Ground Floor Bedroom,3.0,2362.0,7.0,7.0,9.0,"Laminate, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",676899.0,8353.0,2195000.0
114,"Natural Gas, Central","Electric, Wall/Window Unit(s)","Garage, Garage - Attached, Covered",3,2.0,1435.0,9.0,8.0,8.0,Wood,"Other, Electric, Gas",Wall,"Dishwasher, Range / Oven",In Garage,"Garage, Garage - Attached, Covered",315241.0,4190.0,1625000.0
117,Central Forced Air,Ceiling Fan,"Garage, Garage - Detached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor",2.0,1875.0,6.0,5.0,8.0,"Hardwood, Carpet, Vinyl / Linoleum","Forced air, Propane / Butane",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Inside,"Garage, Garage - Detached, Covered",475392.0,5388.0,749900.0
128,Radiant Floor,Ceiling Fan(s),"Garage, Garage - Attached, Covered",4,3.0,2494.0,8.0,9.0,9.0,"Wood, Carpet, Tile, Linoleum/Vinyl","Radiant, Electric, Gas",None,"Dishwasher, Garbage disposal, Range / Oven, Trash compactor","Gas Hook-up, Sink, cabinets, Inside Room","Garage, Garage - Attached, Covered",626813.0,8252.0,2800000.0
130,Central Forced Air - Gas,Ceiling Fan,"Garage, Garage - Attached","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,3010.0,8.0,8.0,7.0,"Tile, Hardwood, Carpet","Forced air, Gas",None,"Dishwasher, Garbage disposal, Microwave, Refrigerator","Upper Floor, Inside","Garage, Garage - Attached",930312.0,12119.0,3195000.0
133,Central Forced Air,None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, More than One Bedroom on Ground Floor",3.0,2723.0,8.0,7.0,9.0,"Tile, Hardwood, Carpet",Forced air,None,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",2436650.0,29639.0,4295000.0
136,Zoned,Zoned,"Garage Door Opener, Attached",4,3.0,2585.0,9.0,7.0,8.0,"Carpet, Laminate, Tile, Wood",Zoned,Zoned,"Dishwasher, Gas Range",Laundry Room,"Garage Door Opener, Attached",1632000.0,20230.0,1650000.0
137,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,2.0,1313.0,7.0,6.0,8.0,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer","In Garage, Washer / Dryer, Gas Hookup","Garage, Garage - Attached, Covered",153254.0,1871.0,1988800.0
138,Central,Central Air,"Garage, Other",4,5.0,2542.0,6.0,2.0,6.0,Wood,Central,Central Air,"Freezer, Refrigerator, Barbecue, Counter Top, Disposal, Range Hood, Oven, Microwave, Dishwasher, Range",See Remarks,"Garage, Other",1593240.0,19345.0,2279000.0
139,Central,Central Air,"Detached Carport, Garage",4,4.0,2889.0,9.0,7.0,6.0,Tile,Central,Central Air,"Dishwasher, Disposal, Refrigerator, Gas Cooktop, Double Oven, Microwave, Range Hood, Washer, Dryer",Inside,"Detached Carport, Garage",1880523.0,22881.0,2850000.0
144,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",Master Bedroom on Ground Floor,3.0,1350.0,8.0,5.0,6.0,"Tile, Laminate",Forced air,Central,"Dishwasher, Garbage disposal, Range / Oven","Gas Hookup, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",413454.0,6510.0,995000.0
145,Central Forced Air,None,"Garage, Garage - Attached, Covered",5,3.0,2479.0,6.0,7.0,8.0,"Tile, Hardwood, Carpet, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer","Inside, In Utility Room","Garage, Garage - Attached, Covered",1143344.0,15580.0,1500000.0
147,Central,Central Air,"Covered, Direct Access, Garage Door Opener, Garage - Two Door",2,2.0,1486.0,6.0,3.0,6.0,"Tile, Wood",Central,Central Air,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Closet,"Covered, Direct Access, Garage Door Opener, Garage - Two Door",1074617.0,13275.0,1275000.0
153,Floor Furnace,None,"Garage, Garage - Attached",4,5.0,3870.0,8.0,8.0,7.0,Hardwood,Other,None,Range / Oven,In Utility Room,"Garage, Garage - Attached",851251.0,11695.0,13850000.0
155,Central,Central Air,"Garage, Garage - Attached, Covered",3,3.0,2792.0,7.0,3.0,7.0,"Wood, Stone",Forced air,Central,"Dishwasher, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator","Individual Room, Gas Dryer Hookup, Washer Hookup","Garage, Garage - Attached, Covered",1189036.0,14870.0,2399500.0
159,Central Forced Air,None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor",2.0,1688.0,4.0,3.0,5.0,"Tile, Hardwood","Forced air, Gas",None,"Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Tub / Sink, Washer / Dryer, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",516143.0,7326.0,1225000.0
163,Central Forced Air,Window / Wall Unit,"Garage, Garage - Attached, Covered","Master Suite / Retreat, Walk-in Closet",3.0,1740.0,9.0,7.0,7.0,"Hardwood, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Trash compactor","Upper Floor, Inside","Garage, Garage - Attached, Covered",420541.0,5967.0,1449950.0
164,Central,Central Air,"Garage, Garage Faces Rear",3,1.0,1069.0,4.0,4.0,2.0,Laminate,Central,Central Air,"ENERGY STAR Qualified Appliances, Gas Oven, Gas Range, Microwave, Water Heater","Inside, Stackable","Garage, Garage Faces Rear",48805.0,1185.0,579888.0
171,Wall Furnace,"None, See Remarks","Garage, Garage Faces Front",4,2.0,1592.0,5.0,3.0,3.0,"Laminate, See Remarks",Wall Furnace,"None, See Remarks","Microwave, Water Heater","In Kitchen, See Remarks","Garage, Garage Faces Front",420240.0,7617.0,499000.0
186,"Gas, Space Heater",None,"Garage, Garage - Attached",2,1.0,836.0,3.0,3.0,4.0,Laminate,"Wall, Gas",None,"Garbage disposal, Refrigerator",Inside,"Garage, Garage - Attached",120731.0,1448.0,419900.0
199,"Gas, Central Forced Air",None,"Garage, Garage - Attached, Covered",Master Bedroom on Ground Floor,3.0,1724.0,5.0,6.0,7.0,"Hardwood, Laminate, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Range / Oven, Refrigerator, Washer","Inside, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",423590.0,5107.0,824900.0
212,Central Forced Air,Other,Garage - Attached,2,1.0,1040.0,2.0,3.0,5.0,"Tile, Hardwood",Forced air,Other,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",In Garage,Garage - Attached,1002618.0,12806.0,988000.0
216,Central,Central Air,Garage - Two Door,2,3.0,1902.0,8.0,3.0,6.0,"Wood, Tile",Central,Central Air,"Dishwasher, Refrigerator",See Remarks,Garage - Two Door,896167.0,11119.0,1250000.0
217,"Forced Air, Natural Gas",Ceiling Fan(s),"Garage Door Opener, Attached, Guest",2,2.0,1550.0,6.0,4.0,5.0,"Carpet, Laminate, Tile","Forced Air, Natural Gas",Ceiling Fan(s),"Gas Water Heater, Dishwasher, Disposal, Plumbed For Ice Maker, Microwave, Range, Refrigerator","220 Volt Outlet, Dryer, Gas Dryer Hookup, Laundry Room, In Unit, Washer","Garage Door Opener, Attached, Guest",403607.0,5840.0,1275000.0
219,Other,"Ceiling Fan, Other","Garage, Garage - Attached, Covered",4,1.0,1260.0,6.0,7.0,6.0,Wood,"Other, Gas",Other,"Dryer, Microwave, Range / Oven, Refrigerator, Washer","Other, Washer / Dryer","Garage, Garage - Attached, Covered",83479.0,2286.0,799999.0
227,Central Forced Air - Gas,"Ceiling Fan, Central AC","Garage, Garage - Detached, On-street, Covered",2,1.0,1398.0,3.0,4.0,3.0,"Tile, Hardwood, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Detached, On-street, Covered",742845.0,9964.0,799000.0
231,"Gas, Wall Furnace",None,"Garage, Garage - Detached, Off-street, On-street, Covered",More than One Bedroom on Ground Floor,1.0,1330.0,5.0,6.0,7.0,"Tile, Hardwood, Carpet","Wall, Gas",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Tub / Sink, Gas Hookup","Garage, Garage - Detached, Off-street, On-street, Covered",404245.0,4498.0,947500.0
240,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered",4,3.0,1800.0,6.0,5.0,6.0,"Tile, Laminate","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Unit,"Garage, Garage - Attached, Covered",96699.0,1204.0,1500000.0
241,Zoned,Wall/Window Unit(s),"Driveway, RV Access/Parking",5,3.0,2205.0,2.0,5.0,4.0,Tile,Zoned,Wall/Window Unit(s),"Gas Cooktop, Gas Water Heater, Water Heater Central",Outside,"Driveway, RV Access/Parking",295112.0,3836.0,665000.0
248,"Fireplace, Central Forced Air - Gas","Ceiling Fan, Central AC","Garage, Garage - Attached, Off-street, On-street, Covered","Ground Floor Bedroom, Walk-in Closet, More than One Master Bedroom",3.0,1400.0,8.0,7.0,9.0,"Tile, Hardwood, Carpet, Vinyl / Linoleum","Other, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Range / Oven, Refrigerator, Washer","In Garage, Dryer, Washer, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Off-street, On-street, Covered",1200756.0,15091.0,2988000.0
250,"Gas, Forced Air, Central Forced Air, Central Forced Air - Gas",Central AC,"Garage, Garage - Attached, Covered",Master Suite / Retreate - 2+,4.0,2200.0,7.0,9.0,8.0,"Tile, Hardwood, Marble","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Gas Hookup, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",1322536.0,17992.0,1724000.0
260,Forced Air,Ceiling Fan(s),Detached,6,3.0,3929.0,4.0,4.0,3.0,Hardwood Flrs Throughout,Forced Air,Ceiling Fan(s),"Dishwasher, Gas Range",In Unit,Detached,1018523.0,13561.0,1899950.0
264,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,2.0,1332.0,6.0,5.0,6.0,"Tile, Wood","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",1180500.0,14130.0,1468000.0
275,Forced Air,Central AC,"Garage, Garage - Attached, Off-street, Covered","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,2303.0,8.0,8.0,7.0,"Tile, Hardwood, Carpet, Other","Forced air, Other, Electric, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Off-street, Covered",1835710.0,22073.0,2595000.0
278,Central Forced Air,None,"Underground/Basement, Garage - Attached, Covered",6,5.0,4144.0,9.0,8.0,7.0,"Hardwood, Carpet","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, In Utility Room","Underground/Basement, Garage - Attached, Covered",1791934.0,22172.0,4750000.0
280,Central Forced Air - Gas,None,"Garage, Garage - Attached",Walk-in Closet,2.0,2170.0,8.0,8.0,7.0,"Hardwood, Carpet","Forced air, Gas",None,"Dryer, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached",178859.0,4463.0,2825000.0
281,Forced Air,Other,"Garage Door Opener, Attached",3,2.0,1252.0,4.0,3.0,7.0,"Carpet, Laminate, Tile",Forced Air,Other,"Gas Water Heater, Dishwasher, Double Oven, Gas Range, Range",220 Volt Outlet,"Garage Door Opener, Attached",63104.0,1006.0,1100000.0
282,Central Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, Walk-in Closet",2.0,1734.0,5.0,5.0,7.0,"Tile, Laminate","None, Forced air",Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",Inside,"Garage, Garage - Attached, Covered",754355.0,9791.0,959000.0
285,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, More than One Bedroom on Ground Floor",3.0,3224.0,8.0,7.0,9.0,"Tile, Hardwood, Carpet","Forced air, Gas",None,"Dishwasher, Dryer, Refrigerator, Washer","Dryer, Washer, Gas Hookup, Inside, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",235500.0,3949.0,3695000.0
290,Forced Air,Central AC,"Garage, Garage - Attached",Master Suite / Retreat,3.0,2006.0,2.0,3.0,3.0,"Laminate, Vinyl / Linoleum",Forced air,Central,"Dishwasher, Dryer, Microwave, Refrigerator, Washer","Dryer, Washer, Gas Hookup, Electricity Hookup (220V)","Garage, Garage - Attached",529663.0,6208.0,689000.0
293,Wall Furnace,"Wall/Window Unit(s), Gas","Direct Access, Driveway, Driveway - Combination, Garage Faces Rear",2,1.0,884.0,3.0,1.0,2.0,Tile,Wall Furnace,"Wall/Window Unit(s), Gas","Free-Standing Range, Gas Oven, Gas Range, Microwave","Gas Dryer Hookup, Inside","Direct Access, Driveway, Driveway - Combination, Garage Faces Rear",272993.0,3583.0,415000.0
312,"Central Forced Air, Central Forced Air - Gas",None,"Garage, Garage - Attached, Covered",Ground Floor Bedroom,1.0,990.0,6.0,6.0,7.0,"Tile, Laminate, Wood","Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached, Covered",62910.0,2530.0,1285000.0
315,"Gas, Heating - 2+ Zones, Wall Furnace, Fireplace, Stove Heater",Window / Wall Unit,"Garage, Garage - Attached",3,2.0,1725.0,5.0,6.0,7.0,"Tile, Hardwood, Slate, Stone",Gas,Wall,Range / Oven,"Gas Hookup, Inside, In Utility Room","Garage, Garage - Attached",714000.0,8293.0,948000.0
316,Gas,Central,"Garage, Garage - Attached",1,1.0,600.0,8.0,8.0,7.0,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Refrigerator, Washer",In Unit,"Garage, Garage - Attached",353705.0,5753.0,2288000.0
334,Central,None,Garage - Attached,4,3.0,1952.0,5.0,2.0,6.0,Carpet,Central,None,Dishwasher,In Garage,Garage - Attached,166984.0,2322.0,1549000.0
336,Central,Central Air,"Garage, Garage - Attached, Covered",5,4.0,2253.0,3.0,4.0,2.0,Bamboo,"Forced air, Electric, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",Inside,"Garage, Garage - Attached, Covered",339181.0,4395.0,796000.0
338,"Central Forced Air - Gas, Space Heater",None,"Garage, Garage - Attached","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor, Master Suite / Retreate - 2+",4.0,2316.0,4.0,5.0,5.0,"Tile, Hardwood, Laminate, Carpet","Forced air, Gas",None,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Other, Inside, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached",287730.0,3777.0,1300000.0
346,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",3.0,2652.0,9.0,8.0,8.0,"Tile, Hardwood, Laminate, Carpet",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",151305.0,1914.0,2495000.0
350,Solar,Ceiling Fan(s),"Carport, Side Yard Access",3,1.0,1326.0,5.0,4.0,4.0,Hardwood Flrs Throughout,Solar,Ceiling Fan(s),Gas Water Heater,In Unit,"Carport, Side Yard Access",217027.0,4292.0,1099000.0
354,Wall Furnace,Ceiling Fan,"Garage, Garage - Attached",2,1.0,1061.0,5.0,6.0,7.0,"Wood, Vinyl / Linoleum","Wall, Electric",None,"Garbage disposal, Range / Oven",In Garage,"Garage, Garage - Attached",139359.0,2532.0,995000.0
358,Forced Air,Ceiling Fan(s),"Garage Door Opener, Attached, Garage, Space Per Unit - 1",4,2.0,1890.0,7.0,4.0,7.0,"Hardwood, Tile",Forced Air,Ceiling Fan(s),"Gas Water Heater, Dishwasher, Electric Range, Disposal, Refrigerator, Trash Compactor",In Garage,"Garage Door Opener, Attached, Garage, Space Per Unit - 1",148642.0,2751.0,1599000.0
367,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Walk-in Closet",3.0,2347.0,5.0,5.0,7.0,Laminate,"Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Inside,"Garage, Garage - Attached, Covered",653580.0,9181.0,1150000.0
370,Central,Central Air,"Concrete, Garage - Two Door",4,5.0,3284.0,4.0,3.0,6.0,Wood,Central,Central Air,"Dishwasher, Disposal, Microwave, Washer, Dryer",Laundry Room,"Concrete, Garage - Two Door",1813041.0,22328.0,2888000.0
376,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered",Walk-in Closet,3.0,3047.0,8.0,6.0,8.0,"Tile, Carpet","Forced air, Gas",None,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Attached, Covered",687286.0,8537.0,2690000.0
378,Central Forced Air,None,"Garage, Garage - Attached",3,2.0,2269.0,5.0,5.0,5.0,Hardwood,Forced air,None,"Dryer, Washer",Washer / Dryer,"Garage, Garage - Attached",103706.0,1892.0,1198000.0
403,Wall Furnace,Window / Wall Unit,"Garage, Garage - Attached, Off-street, Covered",Ground Floor Bedroom,2.0,1600.0,7.0,6.0,7.0,"Laminate, Carpet, Vinyl / Linoleum","Forced air, Gas",Wall,"Dishwasher, Range / Oven, Refrigerator","In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Off-street, Covered",920619.0,12464.0,1600000.0
404,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, On-street, Covered",Master Suite / Retreat,2.0,1095.0,6.0,7.0,8.0,"Laminate, Other, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator","In Garage, Gas Hookup, Inside","Garage, Garage - Attached, On-street, Covered",937000.0,13163.0,1179000.0
419,"Fireplace, Central Forced Air - Gas",None,"Garage, Garage - Attached, Off-street, Covered",3,2.0,1753.0,7.0,6.0,7.0,"Tile, Hardwood, Laminate, Carpet","Forced air, Gas",None,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Off-street, Covered",88422.0,1300.0,450000.0
422,Forced air,None,"Garage, Carport, Covered",3,2.0,1736.0,4.0,2.0,5.0,"Carpet, Laminate, Linoleum / Vinyl",Forced air,None,"Dishwasher, Range / Oven",Hookup - Electric,"Garage, Carport, Covered",613836.0,6745.0,599999.0
441,Central Forced Air,None,"Garage, Garage - Attached, Off-street, Covered",Walk-in Closet,2.0,1899.0,8.0,5.0,8.0,"Carpet, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Range / Oven, Refrigerator","Washer / Dryer, Inside","Garage, Garage - Attached, Off-street, Covered",329623.0,4264.0,899000.0
460,"Central, Fireplace(s)",Central Air,"Paved, Garage, Garage Faces Rear, Garage - Single Door",3,2.0,1510.0,3.0,2.0,2.0,Laminate,"Central, Fireplace(s)",Central Air,"Dishwasher, Gas Oven, Gas Range, Refrigerator, Self Cleaning Oven, Water Heater","Gas & Electric Dryer Hookup, Laundry Room, Washer Hookup","Paved, Garage, Garage Faces Rear, Garage - Single Door",679380.0,8438.0,950000.0
464,"Electric, Space Heater",None,Garage - Attached,3,2.0,1289.0,9.0,8.0,7.0,"Tile, Carpet","Electric, Gas",None,"Range / Oven, Refrigerator",Inside,Garage - Attached,80113.0,1802.0,890000.0
468,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",Master Bedroom on Ground Floor,2.0,924.0,4.0,3.0,5.0,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Gas Hookup, Inside, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",264455.0,4397.0,899000.0
470,Central,Central Air,On Street,4,3.0,2162.0,2.0,6.0,8.0,"Tile, Wood",Central,Central Air,"Dishwasher, Refrigerator, Washer, Dryer","In Kitchen, Stackable",On Street,1071460.0,13179.0,1479000.0
485,Central,Central Air,Driveway,3,3.0,2675.0,8.0,6.0,8.0,"Wood, Tile",Central,Central Air,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,Driveway,897099.0,10995.0,1990000.0
487,Central Forced Air,None,"Garage, Garage - Attached","Master Suite / Retreat, Walk-in Closet",3.0,1588.0,5.0,6.0,7.0,"Tile, Wood",Forced air,None,"Dishwasher, Dryer, Range / Oven, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached",730780.0,9181.0,948000.0
494,Central,Central Air,"Attached Carport, Driveway",3,2.0,1390.0,8.0,6.0,8.0,"Bamboo, Tile",Central,Central Air,"Dishwasher, Refrigerator, Washer, Dryer",Laundry Closet,"Attached Carport, Driveway",440901.0,5397.0,1149000.0
495,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",Walk-in Closet,3.0,2121.0,9.0,6.0,6.0,"Tile, Laminate, Carpet","Forced air, Gas, Other",Central,"Dishwasher, Microwave, Range / Oven, Refrigerator",Inside,"Garage, Garage - Attached, Covered",984522.0,13668.0,1375000.0
509,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, More than One Bedroom on Ground Floor",4.0,3040.0,4.0,4.0,3.0,"Wood, Carpet","Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","Washer / Dryer, Gas Hookup, In Utility Room","Garage, Garage - Attached, Covered",60355.0,2475.0,998000.0
