,Bedrooms,Bathrooms,Total interior livable area,Elementary School Score,Middle School Score,High School Score,Tax assessed value,Annual tax amount,Listed Price,City
164,3,1.0,1069.0,4.0,4.0,2.0,48805.0,1185.0,579888.0,Los Angeles
168,3,1.0,1008.0,3.0,6.0,7.0,637500.0,7460.0,599000.0,Santa Cruz
169,4,3.0,2329.0,6.0,3.0,6.0,157316.0,2114.0,1858900.0,Los Angeles
171,4,2.0,1592.0,5.0,3.0,3.0,420240.0,7617.0,499000.0,Compton
174,4,2.0,2182.0,6.0,5.0,4.0,720000.0,9036.0,899000.0,Los Angeles
176,3,2.0,1170.0,5.0,6.0,3.0,326528.0,4116.0,599999.0,Los Angeles
178,4,3.0,2280.0,4.0,4.0,7.0,1350000.0,16274.0,2298000.0,San Mateo
182,3,1.0,1342.0,3.0,5.0,4.0,1290000.0,15783.0,1100000.0,Los Angeles
186,2,1.0,836.0,3.0,3.0,4.0,120731.0,1448.0,419900.0,Watsonville
190,3,3.0,2489.0,8.0,2.0,5.0,566288.0,5932.0,899900.0,Zamora
193,3,2.0,1555.0,9.0,9.0,10.0,1124314.0,13967.0,999950.0,Los Gatos
194,6,3.0,4366.0,2.0,5.0,4.0,1341708.0,16578.0,1249900.0,Los Angeles
197,1,1.0,500.0,7.0,6.0,6.0,14711.0,159.0,60000.0,Santa Cruz
198,3,2.0,1410.0,7.0,6.0,5.0,760000.0,9898.0,1398000.0,San Francisco
200,3,2.0,1671.0,5.0,2.0,2.0,520300.0,6528.0,375000.0,Los Angeles
201,3,2.0,1362.0,9.0,8.0,7.0,660257.0,8653.0,1299000.0,San Francisco
203,4,2.0,1972.0,8.0,8.0,10.0,122565.0,2625.0,1998000.0,Cupertino
208,3,2.0,1301.0,3.0,2.0,2.0,403000.0,5115.0,580000.0,Los Angeles
212,2,1.0,1040.0,2.0,3.0,5.0,1002618.0,12806.0,988000.0,San Francisco
216,2,3.0,1902.0,8.0,3.0,6.0,896167.0,11119.0,1250000.0,Los Angeles
217,2,2.0,1550.0,6.0,4.0,5.0,403607.0,5840.0,1275000.0,Campbell
219,4,1.0,1260.0,6.0,7.0,6.0,83479.0,2286.0,799999.0,San Jose
225,3,2.0,1116.0,7.0,5.0,3.0,358938.0,4801.0,550000.0,Compton
227,2,1.0,1398.0,3.0,4.0,3.0,742845.0,9964.0,799000.0,San Jose
232,2,2.0,708.0,3.0,2.0,2.0,280000.0,3525.0,308000.0,Los Angeles
240,4,3.0,1800.0,6.0,5.0,6.0,96699.0,1204.0,1500000.0,Santa Clara
241,5,3.0,2205.0,2.0,5.0,4.0,295112.0,3836.0,665000.0,Los Angeles
245,4,2.0,1720.0,5.0,5.0,7.0,843912.0,9706.0,1399000.0,South San Francisco
253,5,3.0,3700.0,9.0,9.0,10.0,2262896.0,27236.0,4198000.0,Saratoga
257,3,2.0,1310.0,6.0,5.0,5.0,963575.0,11045.0,1095000.0,South San Francisco
259,5,4.0,6245.0,8.0,9.0,7.0,3056421.0,37286.0,10250000.0,San Francisco
260,6,3.0,3929.0,4.0,4.0,3.0,1018523.0,13561.0,1899950.0,San Jose
264,3,2.0,1332.0,6.0,5.0,6.0,1180500.0,14130.0,1468000.0,Santa Clara
273,4,3.0,2079.0,7.0,9.0,8.0,1311442.0,17147.0,1875000.0,Los Gatos
276,3,4.0,2184.0,6.0,2.0,6.0,1476310.0,17979.0,1919000.0,Playa Vista
278,6,5.0,4144.0,9.0,8.0,7.0,1791934.0,22172.0,4750000.0,Menlo Park
281,3,2.0,1252.0,4.0,3.0,7.0,63104.0,1006.0,1100000.0,Sunnyvale
283,3,1.0,1080.0,7.0,4.0,7.0,1419840.0,17074.0,1450000.0,San Mateo
286,3,2.0,1700.0,7.0,3.0,4.0,856800.0,10586.0,1395000.0,Los Angeles
293,2,1.0,884.0,3.0,1.0,2.0,272993.0,3583.0,415000.0,Los Angeles
295,4,3.0,2314.0,3.0,3.0,4.0,591988.0,7517.0,650000.0,Watsonville
305,4,2.0,1559.0,3.0,5.0,4.0,1094600.0,14291.0,1199000.0,San Jose
311,6,4.0,5005.0,7.0,6.0,8.0,405902.0,5809.0,6500000.0,San Francisco
314,2,1.0,688.0,6.0,5.0,4.0,438471.0,5482.0,550000.0,Los Angeles
315,3,2.0,1725.0,5.0,6.0,7.0,714000.0,8293.0,948000.0,Santa Cruz
316,1,1.0,600.0,8.0,8.0,7.0,353705.0,5753.0,2288000.0,Menlo Park
320,4,4.0,2222.0,2.0,6.0,8.0,1157700.0,14157.0,1750000.0,Los Angeles
334,4,3.0,1952.0,5.0,2.0,6.0,166984.0,2322.0,1549000.0,Los Angeles
335,4,2.0,1399.0,7.0,6.0,8.0,1243907.0,15116.0,2199000.0,Mountain View
336,5,4.0,2253.0,3.0,4.0,2.0,339181.0,4395.0,796000.0,Los Angeles
347,3,1.0,1430.0,6.0,4.0,5.0,944227.0,11972.0,1198000.0,San Francisco
350,3,1.0,1326.0,5.0,4.0,4.0,217027.0,4292.0,1099000.0,San Jose
354,2,1.0,1061.0,5.0,6.0,7.0,139359.0,2532.0,995000.0,Capitola
358,4,2.0,1890.0,7.0,4.0,7.0,148642.0,2751.0,1599000.0,San Mateo
363,3,1.0,1000.0,2.0,6.0,8.0,745130.0,10983.0,1150000.0,San Mateo
364,4,2.0,2108.0,7.0,3.0,4.0,780018.0,11501.0,949888.0,San Jose
368,2,1.0,1110.0,9.0,9.0,6.0,486218.0,6924.0,1349000.0,San Carlos
370,4,5.0,3284.0,4.0,3.0,6.0,1813041.0,22328.0,2888000.0,Los Angeles
378,3,2.0,2269.0,5.0,5.0,5.0,103706.0,1892.0,1198000.0,South San Francisco
383,3,3.0,1486.0,3.0,4.0,5.0,363445.0,5198.0,799000.0,San Francisco
390,3,3.0,1703.0,9.0,6.0,7.0,48215.0,1076.0,840000.0,Santa Cruz
393,3,2.0,1240.0,9.0,9.0,6.0,464268.0,6677.0,1598000.0,San Carlos
410,4,3.0,2041.0,7.0,3.0,3.0,2814321.0,34519.0,2895000.0,San Francisco
419,3,2.0,1753.0,7.0,6.0,7.0,88422.0,1300.0,450000.0,Soquel
422,3,2.0,1736.0,4.0,2.0,5.0,613836.0,6745.0,599999.0,Watsonville
423,3,2.0,2169.0,2.0,3.0,5.0,928036.0,13117.0,889000.0,San Jose
438,2,2.0,1796.0,5.0,6.0,5.0,187036.0,2240.0,315000.0,Tubac
450,3,2.0,1296.0,4.0,4.0,5.0,137883.0,2121.0,199500.0,Edison
460,3,2.0,1510.0,3.0,2.0,2.0,679380.0,8438.0,950000.0,Los Angeles
461,2,1.0,1400.0,8.0,7.0,7.0,80634.0,1623.0,1295000.0,San Francisco
463,2,1.0,800.0,2.0,3.0,5.0,155976.0,2659.0,599000.0,San Francisco
464,3,2.0,1289.0,9.0,8.0,7.0,80113.0,1802.0,890000.0,San Francisco
466,3,1.0,1039.0,3.0,5.0,4.0,316289.0,3979.0,305000.0,Los Angeles
470,4,3.0,2162.0,2.0,6.0,8.0,1071460.0,13179.0,1479000.0,Los Angeles
481,2,1.0,960.0,6.0,5.0,3.0,222571.0,4091.0,409999.0,Compton
485,3,3.0,2675.0,8.0,6.0,8.0,897099.0,10995.0,1990000.0,Los Angeles
490,5,4.0,3400.0,8.0,8.0,8.0,983074.0,13271.0,1778888.0,San Jose
491,3,2.0,1265.0,5.0,3.0,3.0,410000.0,5170.0,374950.0,Los Angeles
494,3,2.0,1390.0,8.0,6.0,8.0,440901.0,5397.0,1149000.0,Los Angeles
497,3,2.0,2298.0,8.0,8.0,7.0,193252.0,2972.0,2850000.0,San Francisco
499,2,1.0,822.0,5.0,3.0,3.0,274729.0,4836.0,358888.0,Compton
500,2,1.0,792.0,4.0,7.0,6.0,70767.0,907.0,865000.0,Los Angeles
510,3,2.0,1008.0,6.0,5.0,5.0,140716.0,1485.0,185000.0,Orosi
512,3,3.0,1850.0,6.0,5.0,8.0,372762.0,4304.0,665000.0,Boulder Creek
513,3,2.0,1394.0,6.0,3.0,5.0,788325.0,10104.0,1300000.0,San Francisco
520,3,2.0,1371.0,4.0,3.0,5.0,892335.0,11686.0,1150000.0,San Jose
524,2,1.0,769.0,7.0,5.0,3.0,376000.0,6820.0,400000.0,Los Angeles
529,3,2.0,1626.0,3.0,2.0,3.0,541008.0,6422.0,524950.0,Watsonville
533,5,2.0,1866.0,9.0,8.0,7.0,213180.0,3345.0,1398000.0,San Francisco
535,0,0.0,4851.0,8.0,9.0,10.0,80631.0,1667.0,1780000.0,Los Gatos
537,4,3.0,2139.0,7.0,7.0,8.0,1152600.0,14732.0,1500000.0,San Jose
549,2,2.0,1200.0,6.0,5.0,8.0,75707.0,313.0,649900.0,Brookdale
552,3,2.0,1953.0,3.0,6.0,7.0,531339.0,6278.0,1075000.0,Santa Cruz
553,4,6.0,5306.0,8.0,7.0,7.0,2295907.0,28190.0,6950000.0,Los Angeles
554,3,3.0,2007.0,6.0,3.0,6.0,1872719.0,22679.0,2279000.0,Los Angeles
555,2,1.0,1025.0,3.0,4.0,5.0,52763.0,1289.0,998000.0,San Francisco
561,4,2.0,2022.0,4.0,4.0,7.0,118013.0,2545.0,1899000.0,San Mateo
565,4,3.0,2220.0,8.0,7.0,5.0,122243.0,1311.0,1388000.0,San Bruno
570,4,5.0,4818.0,9.0,6.0,8.0,6858522.0,83039.0,14400000.0,San Francisco
579,3,4.0,3480.0,8.0,7.0,9.0,336265.0,5043.0,4500000.0,Los Altos
586,4,4.0,3035.0,8.0,2.0,6.0,1173000.0,14399.0,1999999.0,Culver City
590,3,2.0,1075.0,2.0,5.0,9.0,54445.0,1931.0,725000.0,San Jose
592,3,2.0,1293.0,4.0,7.0,6.0,923100.0,11602.0,1198900.0,Los Angeles
607,3,2.0,912.0,7.0,5.0,3.0,293000.0,5428.0,415000.0,Compton
608,3,3.0,2423.0,5.0,3.0,6.0,149638.0,1457.0,330000.0,Nogales
610,4,3.0,2600.0,6.0,6.0,9.0,161947.0,2038.0,2300888.0,Millbrae
613,4,2.0,1455.0,4.0,5.0,4.0,426360.0,5368.0,788000.0,Los Angeles
619,3,3.0,1863.0,5.0,6.0,8.0,1969477.0,23938.0,1788000.0,Los Angeles
620,4,3.0,1316.0,2.0,4.0,3.0,34792.0,2364.0,749888.0,San Jose
622,3,4.0,2154.0,6.0,3.0,6.0,2300168.0,28304.0,3000000.0,Los Angeles
633,3,3.0,1507.0,7.0,6.0,7.0,924667.0,12556.0,1550000.0,San Jose
659,3,2.0,1200.0,6.0,6.0,6.0,1417545.0,16565.0,1649000.0,Santa Cruz
662,3,3.0,1739.0,5.0,4.0,5.0,1107387.0,14764.0,1425000.0,San Jose
663,3,1.0,1388.0,4.0,5.0,6.0,478535.0,6807.0,898000.0,San Jose
665,3,2.0,1204.0,8.0,2.0,6.0,623438.0,7688.0,869900.0,Culver City
666,3,3.0,1638.0,4.0,3.0,7.0,840929.0,10090.0,1588888.0,Sunnyvale
667,3,4.0,2138.0,6.0,3.0,6.0,1512221.0,18482.0,2295000.0,Los Angeles
669,2,1.0,1165.0,7.0,5.0,3.0,203926.0,4160.0,399900.0,Compton
670,3,2.0,1700.0,9.0,8.0,7.0,1322032.0,16500.0,1395000.0,San Francisco
676,4,3.0,4220.0,8.0,8.0,7.0,1517378.0,18936.0,3300000.0,Menlo Park
679,3,2.0,1080.0,2.0,4.0,3.0,962280.0,12516.0,999999.0,San Jose
686,3,2.0,1244.0,6.0,7.0,7.0,1050000.0,13650.0,1398000.0,Campbell
701,2,1.0,936.0,4.0,6.0,7.0,131504.0,1866.0,899950.0,Santa Cruz
702,4,2.0,1600.0,7.0,5.0,6.0,938032.0,11257.0,689000.0,Santa Clara
703,3,3.0,2162.0,6.0,2.0,2.0,1153100.0,14220.0,1499000.0,Los Angeles
704,2,1.0,1085.0,3.0,4.0,2.0,250090.0,3265.0,510000.0,Los Angeles
709,2,1.0,1109.0,3.0,3.0,2.0,988788.0,12132.0,513000.0,Los Angeles
710,3,3.0,2789.0,6.0,3.0,6.0,2191598.0,26823.0,2895000.0,Los Angeles
713,3,3.0,2303.0,7.0,6.0,7.0,371499.0,6524.0,1498888.0,San Jose
714,2,2.0,1116.0,7.0,6.0,7.0,538695.0,6447.0,749000.0,Santa Cruz
716,3,2.0,2100.0,6.0,5.0,6.0,81457.0,1106.0,1398888.0,Santa Clara
722,4,3.0,2146.0,4.0,4.0,6.0,1631920.0,19849.0,1995000.0,Los Angeles
729,2,1.0,1080.0,2.0,3.0,5.0,43464.0,1261.0,849000.0,San Francisco
730,3,2.0,1399.0,7.0,7.0,9.0,81506.0,1833.0,2088000.0,Palo Alto
732,4,3.0,3157.0,7.0,3.0,7.0,2050200.0,25088.0,2495000.0,Los Angeles
737,4,4.0,3349.0,8.0,8.0,8.0,983074.0,13271.0,1778888.0,San Jose
755,2,2.0,1095.0,5.0,5.0,6.0,504398.0,6862.0,650000.0,San Jose
756,4,2.0,1540.0,6.0,2.0,3.0,297111.0,5262.0,469000.0,Compton
758,5,3.0,2550.0,8.0,6.0,8.0,125225.0,2840.0,1499000.0,San Jose
759,3,4.0,2722.0,6.0,7.0,8.0,1697931.0,20079.0,1995000.0,Culver City
761,3,1.0,1248.0,3.0,2.0,2.0,433500.0,5456.0,450000.0,Los Angeles
768,3,2.0,1613.0,6.0,3.0,6.0,1412700.0,17357.0,1699000.0,Los Angeles
775,3,2.0,1706.0,1.0,4.0,2.0,231682.0,3182.0,579000.0,Los Angeles
777,4,2.0,1510.0,3.0,2.0,2.0,400000.0,5051.0,585000.0,Los Angeles
784,2,1.0,909.0,7.0,6.0,7.0,129038.0,1839.0,895000.0,Santa Cruz
788,3,2.0,1176.0,3.0,4.0,4.0,676517.0,10542.0,875000.0,San Jose
798,4,2.0,1781.0,6.0,5.0,6.0,1450000.0,16103.0,1899000.0,Redwood City
803,3,2.0,1640.0,3.0,4.0,4.0,180649.0,4296.0,820000.0,San Jose
805,4,2.0,1684.0,9.0,9.0,10.0,1102483.0,14167.0,2100000.0,Cupertino
806,2,1.0,1027.0,2.0,3.0,5.0,783839.0,10184.0,839000.0,San Francisco
818,3,2.0,1717.0,6.0,2.0,2.0,84676.0,1264.0,959000.0,Los Angeles
825,3,2.0,1790.0,8.0,7.0,5.0,829717.0,8918.0,1299000.0,San Bruno
835,3,3.0,2092.0,4.0,3.0,6.0,1045500.0,12909.0,1649999.0,Los Angeles
839,4,3.0,1433.0,4.0,3.0,7.0,1132500.0,13609.0,1374000.0,Sunnyvale
847,3,2.0,1260.0,7.0,6.0,7.0,1232981.0,16358.0,1298000.0,Saratoga
852,3,2.0,1300.0,6.0,5.0,5.0,568508.0,2070.0,1010000.0,South San Francisco
867,3,3.0,1636.0,9.0,9.0,10.0,198527.0,3871.0,1899000.0,San Jose
873,4,4.0,3771.0,8.0,6.0,8.0,3516601.0,42821.0,3850000.0,Los Angeles
877,3,2.0,2002.0,8.0,6.0,8.0,1021943.0,12545.0,1049900.0,Los Angeles
888,2,1.0,888.0,4.0,3.0,4.0,165429.0,2185.0,700000.0,Los Angeles
895,4,3.0,1742.0,3.0,3.0,4.0,482364.0,7680.0,795000.0,San Jose
896,5,6.0,3550.0,8.0,3.0,6.0,2723100.0,33108.0,3395000.0,Los Angeles
904,5,3.0,3597.0,8.0,7.0,7.0,1109678.0,13776.0,2950000.0,Los Angeles
910,6,7.0,4191.0,7.0,3.0,7.0,3133639.0,38090.0,3375000.0,Los Angeles
919,3,1.0,1000.0,4.0,6.0,7.0,610490.0,7512.0,730000.0,Los Angeles
920,4,3.0,1844.0,4.0,4.0,5.0,260507.0,4531.0,998000.0,San Jose
924,3,2.0,1293.0,2.0,6.0,5.0,60332.0,1513.0,925000.0,San Francisco
928,2,1.0,748.0,2.0,6.0,9.0,248957.0,3154.0,499750.0,Los Angeles
934,3,3.0,2599.0,7.0,6.0,8.0,3328478.0,40681.0,3400000.0,San Francisco
936,3,2.0,1473.0,4.0,3.0,7.0,1113227.0,13299.0,1688000.0,Sunnyvale
942,3,2.0,2253.0,8.0,6.0,8.0,1813337.0,22260.0,1775000.0,Los Angeles
947,3,2.0,1428.0,3.0,2.0,6.0,247578.0,3203.0,1325000.0,Culver City
949,2,1.0,1698.0,8.0,6.0,10.0,194979.0,3077.0,1249000.0,San Francisco
953,3,2.0,2085.0,6.0,5.0,7.0,399402.0,5796.0,1249000.0,San Jose
957,2,1.0,986.0,9.0,3.0,7.0,63601.0,920.0,935000.0,Los Angeles
959,3,4.0,2900.0,6.0,3.0,6.0,950679.0,11839.0,2490000.0,Los Angeles
971,3,3.0,1531.0,9.0,8.0,8.0,2162400.0,26564.0,2195000.0,Los Altos
991,3,2.0,1200.0,6.0,4.0,6.0,407665.0,6663.0,799000.0,San Jose
994,5,4.0,2320.0,5.0,4.0,7.0,363750.0,5016.0,949000.0,San Francisco
998,2,1.0,1224.0,2.0,3.0,3.0,409108.0,5229.0,625000.0,Los Angeles
1014,4,2.0,1363.0,3.0,2.0,2.0,555900.0,6938.0,799900.0,Los Angeles
1015,3,1.0,1508.0,5.0,4.0,3.0,48175.0,1577.0,444999.0,Compton
1016,2,2.0,1684.0,4.0,5.0,4.0,365493.0,4583.0,328000.0,Los Angeles
1019,1,1.0,800.0,6.0,5.0,6.0,773938.0,9319.0,849000.0,Santa Clara
1027,4,2.0,1352.0,3.0,4.0,4.0,57822.0,2727.0,795000.0,San Jose
1031,3,2.0,1693.0,4.0,5.0,6.0,581599.0,6950.0,1298888.0,Santa Clara
1032,4,2.0,1446.0,6.0,7.0,9.0,265963.0,3303.0,940000.0,Milpitas
1033,2,1.0,689.0,5.0,3.0,3.0,347493.0,4466.0,250000.0,Los Angeles
1034,5,6.0,3810.0,6.0,2.0,6.0,2382717.0,28998.0,2979000.0,Playa Vista
1035,3,2.0,1734.0,5.0,4.0,7.0,1305284.0,16433.0,1249000.0,San Francisco
1036,6,4.0,7476.0,6.0,5.0,7.0,1758296.0,19334.0,3988000.0,Byron
1038,4,3.0,2006.0,4.0,7.0,6.0,1008678.0,12268.0,1799000.0,Los Angeles
1040,3,3.0,1440.0,4.0,3.0,5.0,1050000.0,13538.0,1049000.0,San Jose
1046,3,1.0,1080.0,9.0,7.0,7.0,383529.0,5551.0,1199888.0,Campbell
1055,3,2.0,1270.0,3.0,2.0,6.0,948600.0,11591.0,975000.0,Culver City
1063,3,2.0,1558.0,4.0,4.0,6.0,119240.0,1663.0,1750000.0,Los Angeles
1065,4,3.0,1618.0,8.0,6.0,6.0,651219.0,9402.0,518888.0,San Jose
1074,3,2.0,1740.0,9.0,9.0,10.0,639610.0,8416.0,2299000.0,Los Gatos
1076,4,3.0,1871.0,3.0,4.0,2.0,387563.0,5255.0,620000.0,Los Angeles
1077,3,1.0,1274.0,3.0,2.0,3.0,373632.0,4473.0,600000.0,Watsonville
1082,3,2.0,1580.0,6.0,4.0,5.0,895000.0,12203.0,1089900.0,San Jose
1086,2,2.0,1541.0,4.0,5.0,4.0,67867.0,1056.0,675000.0,Los Angeles
1088,4,3.0,2223.0,4.0,5.0,6.0,1035893.0,12416.0,1599000.0,Santa Clara
1089,3,2.0,1250.0,3.0,2.0,4.0,130207.0,1998.0,850000.0,Watsonville
1091,3,2.0,1510.0,3.0,6.0,8.0,608330.0,8332.0,1498000.0,San Mateo
1106,3,1.0,1156.0,4.0,6.0,8.0,74006.0,1973.0,1111000.0,San Mateo
1110,3,1.0,1224.0,3.0,4.0,5.0,718841.0,10218.0,849000.0,San Jose
1112,5,5.0,2998.0,6.0,6.0,7.0,1312862.0,15616.0,649800.0,Santa Clara
1114,5,3.0,1872.0,4.0,5.0,6.0,996889.0,11954.0,1488000.0,Santa Clara
1123,4,3.0,2050.0,8.0,7.0,7.0,165873.0,2308.0,1990000.0,Los Angeles
1138,3,2.0,1070.0,6.0,3.0,4.0,710000.0,10651.0,685000.0,San Jose
1146,4,4.0,2808.0,8.0,7.0,8.0,1978086.0,22897.0,1900000.0,San Jose
1153,3,2.0,1097.0,4.0,5.0,6.0,596709.0,7136.0,949900.0,Santa Clara
1154,2,2.0,1237.0,6.0,6.0,6.0,950666.0,11519.0,1195000.0,Santa Cruz
1155,3,2.0,1190.0,6.0,5.0,8.0,180283.0,2201.0,519000.0,Boulder Creek
1156,2,1.0,1032.0,5.0,5.0,3.0,179539.0,2342.0,683000.0,Los Angeles
1162,3,1.0,1349.0,1.0,4.0,2.0,51019.0,1250.0,535000.0,Los Angeles
1181,3,3.0,1786.0,2.0,7.0,7.0,1501440.0,18235.0,1635000.0,Los Angeles
1190,3,3.0,2152.0,3.0,4.0,2.0,184359.0,2698.0,619900.0,Los Angeles
1194,3,3.0,2025.0,7.0,3.0,7.0,1709361.0,20969.0,1699000.0,West Hollywood
1195,3,2.0,1503.0,5.0,4.0,2.0,522240.0,6911.0,579888.0,Los Angeles
1196,3,2.0,1075.0,2.0,5.0,9.0,780000.0,12107.0,849000.0,San Jose
1202,2,2.0,1415.0,6.0,5.0,8.0,222810.0,2747.0,549900.0,Brookdale
1206,2,3.0,1803.0,9.0,3.0,7.0,1010188.0,12514.0,3199000.0,West Hollywood
1207,6,2.0,2471.0,6.0,6.0,6.0,173244.0,3881.0,1600000.0,San Jose
1208,3,2.0,2018.0,8.0,3.0,4.0,357000.0,4130.0,390000.0,Isleton
1213,5,4.0,2563.0,7.0,6.0,7.0,1818740.0,23574.0,2458800.0,Saratoga
1216,5,4.0,3194.0,4.0,3.0,5.0,2435471.0,30131.0,2688888.0,San Jose
1218,3,2.0,1550.0,3.0,3.0,2.0,233611.0,3091.0,748888.0,Los Angeles
1224,3,2.0,1610.0,6.0,5.0,7.0,660526.0,7744.0,1298888.0,South San Francisco
1231,6,2.0,2016.0,7.0,7.0,9.0,490036.0,987.0,3650000.0,Palo Alto
1237,4,3.0,2276.0,3.0,3.0,3.0,1124614.0,12589.0,5900000.0,Watsonville
1246,4,2.0,1560.0,3.0,6.0,8.0,1700000.0,20737.0,1698000.0,San Mateo
1248,4,2.0,1675.0,7.0,7.0,9.0,741601.0,10993.0,1199950.0,San Jose
1269,2,2.0,1614.0,7.0,6.0,10.0,675335.0,8884.0,995000.0,San Francisco
1270,3,1.0,720.0,3.0,3.0,3.0,308550.0,3907.0,449900.0,Los Angeles
1272,3,2.0,1854.0,4.0,4.0,3.0,1125728.0,14420.0,1348000.0,San Jose
1279,3,2.0,1549.0,5.0,3.0,3.0,403000.0,5351.0,448800.0,Compton
1282,2,3.0,2221.0,9.0,3.0,7.0,910021.0,11152.0,1050000.0,Los Angeles
1296,4,2.0,1775.0,1.0,4.0,2.0,527500.0,6707.0,729000.0,Los Angeles
1310,2,2.0,1041.0,3.0,3.0,4.0,446332.0,4701.0,470000.0,Watsonville
1313,3,2.0,1368.0,9.0,8.0,7.0,1079783.0,13731.0,1475000.0,San Francisco
1314,5,3.0,1554.0,5.0,7.0,8.0,69441.0,2320.0,925000.0,San Jose
1316,3,2.0,1646.0,9.0,8.0,7.0,108488.0,2040.0,1238000.0,San Francisco
1320,6,3.0,2198.0,7.0,6.0,7.0,569561.0,9559.0,1475000.0,San Jose
